title,link,price,carYear,location,mileage,engineSize,engineType,Transmission,Colour,Owners,NCT,BodyType
Ford Focus titanium x,http://www.carzone.ie/search/Ford/Focus/titanium/45013977258619780/advert?channel=CARS,"27,410",2014 ,Wexford,,1.6,Diesel,Manual,Red,,,Saloon
Ford Focus 1.6 TDCI 95PS 5M TITANIUM S/,http://www.carzone.ie/search/Ford/Focus/1.6-TDCI/44513974865212020/advert?channel=CARS,"23,795",2014 ,Tipperary,6,1.5,Diesel,Manual,Metallic Silver,1,,Hatchback
Ford Focus 1.6 TD Edition 5dr,http://www.carzone.ie/search/Ford/Focus/1.6-TD-E/32113561053576830/advert?channel=CARS,"23,905",2014 ,Dublin,0,1.6,Petrol,Manual,Panther Black,0,"January, 2017",Hatchback
Ford Focus 1.6 TDCI 95PS M6 ZETEC 4DR,http://www.carzone.ie/search/Ford/Focus/1.6-TDCI/49614000841127470/advert?channel=CARS,"23,950",2014 ,Wicklow,932,1.5,Diesel,Manual,Metallic Panther Black,1,"March, 2018",Hatchback
"Ford Focus 1.6 TDCI 5DR Zetec ""S""",http://www.carzone.ie/search/Ford/Focus/1.6-TDCI/43213929092279650/advert?channel=CARS,"23,950",2014 ,Kerry,"5,288",1.6,Diesel,Manual,Frozen,1,,Hatchback
Ford Focus Edition Saloon,http://www.carzone.ie/search/Ford/Focus/Edition-/45313977258621780/advert?channel=CARS,"23,995",2014 ,Wexford,,1.6,Diesel,Manual,Navy,,,Saloon
Ford Focus TITANIUM 1.6 TD *0 MILEAGE*,http://www.carzone.ie/search/Ford/Focus/TITANIUM/45313987712299370/advert?channel=CARS,"24,200",2014 ,Laois,0,1.6,Diesel,Manual,Metallic Black,0,,Saloon
Ford Focus *Finance from 3.9% APR*ESTATE TITANIUM 1.6TDCI,http://www.carzone.ie/search/Ford/Focus/*Finance/52214018001415860/advert?channel=CARS,"24,450",2014 ,Dublin,620,1.6,Diesel,Manual,Silver,1,,Estate
Ford Focus  ZETEC  S 1.6 TDCI 115 115PS,http://www.carzone.ie/search/Ford/Focus/-ZETEC--/45013995485368170/advert?channel=CARS,"24,495",2014 ,Wexford,"4,975",1.5,Diesel,Manual,Metallic Deep Impact,1,"January, 2018",Hatchback
Ford Focus TITANIUM X*OPEN TO OFFERS* 4 Door 1.6.,http://www.carzone.ie/search/Ford/Focus/TITANIUM/45413977396545870/advert?channel=CARS,"26,950",2014 ,Dublin,"1,864",1.5,Diesel,Manual,Deep Imact Blue,1,,Saloon
Ford Focus ZETEC 1.6 TDCI 95PS 5DR,http://www.carzone.ie/search/Ford/Focus/ZETEC-1./48213988729174530/advert?channel=CARS,"23,700",2014 ,Donegal,0,1.5,Diesel,Manual,Black,0,,Hatchback
Ford Focus DEMO !!,http://www.carzone.ie/search/Ford/Focus/DEMO-!!/45113999762283250/advert?channel=CARS,"22,950",2014 ,Louth,311,1.5,Diesel,Manual,Metallic Silver,1,"April, 2018",Hatchback
Ford Focus 1.6TDi Edition 5DR 95PS,http://www.carzone.ie/search/Ford/Focus/1.6TDi-E/45313995587827500/advert?channel=CARS,"22,950",2014 ,Galway,621,1.6,Diesel,Manual,Metallic Moondust Silver,1,"January, 2017",Hatchback
Ford Focus 1.6 TDCI 95PS M6 ZETEC 4DR,http://www.carzone.ie/search/Ford/Focus/1.6-TDCI/44713974869972090/advert?channel=CARS,"22,995",2014 ,Tipperary,6,1.5,Diesel,Manual,Metallic Black,1,,Hatchback
Ford Focus 5DR TITANIUM 1.6TDCI 95PS*NEW CAR*,http://www.carzone.ie/search/Ford/Focus/5DR-TITA/51714018001415370/advert?channel=CARS,"23,245",2014 ,Dublin,,1.6,Diesel,Manual,,,,Hatchback
Ford Focus 1.6 TDCi EDGE 5DR,http://www.carzone.ie/search/Ford/Focus/1.6-TDCi/33913613742162100/advert?channel=CARS,"23,295",2014 ,Cork,3,1.6,Diesel,Manual,Lunar Sky,0,,Hatchback
Ford Focus 1.6 TDCi EDITION 5DR,http://www.carzone.ie/search/Ford/Focus/1.6-TDCi/32913613740767980/advert?channel=CARS,"23,295",2014 ,Cork,3,1.6,Diesel,Manual,Black,0,,Hatchback
Ford Focus 1.6TDCI ZETEC 5DR DEMO NAVAN FORD,http://www.carzone.ie/search/Ford/Focus/1.6TDCI-/38513908458179020/advert?channel=CARS,"23,450",2014 ,Meath,62,1.6,Diesel,Manual,Metallic Black,0,,Hatchback
Ford Focus (Demo) ZETEC 1.6 TDCI 95PS 5DR,http://www.carzone.ie/search/Ford/Focus/(Demo)-Z/43313965229676150/advert?channel=CARS,"23,495",2014 ,Offaly,63,1.6,Diesel,Manual,Metallic Deep Impact Blue,1,"March, 2018",Hatchback
Ford Focus ZETEC 1.6 TDCI 95PS 5DR,http://www.carzone.ie/search/Ford/Focus/ZETEC-1./43613948961397530/advert?channel=CARS,"23,495",2014 ,Dublin,"1,669",1.5,Diesel,Manual,Red,1,,Hatchback
Ford Focus 1.6 TDCI 95PS M6 ZETEC 4DR,http://www.carzone.ie/search/Ford/Focus/1.6-TDCI/45213974717039140/advert?channel=CARS,"22,690",2014 ,Tipperary,0,1.5,Diesel,Manual,Metallic Brown,1,,Hatchback
Ford Focus EDITION 1.6 95PS Huge Savings!!!!!,http://www.carzone.ie/search/Ford/Focus/EDITION-/48613989404928660/advert?channel=CARS,"22,700",2014 ,Westmeath,5,1.5,Diesel,Manual,Metallic Brown,1,,Hatchback
Ford Focus (Demo) EDITION 1.6 95PS,http://www.carzone.ie/search/Ford/Focus/(Demo)-E/43313965253570430/advert?channel=CARS,"22,700",2014 ,Offaly,"1,243",1.5,Diesel,Manual,Metallic Lunar Sky,1,"March, 2018",Hatchback
Ford Focus Edge,http://www.carzone.ie/search/Ford/Focus/Edge/42613931028779700/advert?channel=CARS,"22,750",2014 ,Wexford,,1.6,Diesel,Manual,Silver,,,Hatchback
Ford Focus 1.6 TD ZETEC 5DR *0 MILEAGE*,http://www.carzone.ie/search/Ford/Focus/1.6-TD-Z/43813970586717720/advert?channel=CARS,"22,900",2014 ,Laois,0,1.6,Diesel,Manual,Metallic Black,0,,Hatchback
Ford Focus 1.6 tdci 95ps 6x speed hatchback,http://www.carzone.ie/search/Ford/Focus/1.6-tdci/37713851367283680/advert?channel=CARS,"22,950",2014 ,Wexford,4,1.6,Diesel,Manual,Moondust Silver,0,,Hatchback
Ford Focus (Demo) EDGE 1.6 TDCI 5DR,http://www.carzone.ie/search/Ford/Focus/(Demo)-E/44213965221703170/advert?channel=CARS,"22,300",2014 ,Offaly,"3,045",1.5,Diesel,Manual,Metallic Moondust Silver,1,"January, 2018",Hatchback
Ford Focus ZETEC 1.6 95PS 4DR,http://www.carzone.ie/search/Ford/Focus/ZETEC-1./46613996367780660/advert?channel=CARS,"22,395",2014 ,Kilkenny,625,1.5,Diesel,Manual,Silver,1,"April, 2018",Saloon
